inst#,actual,predicted,error
1,1,2.2,1.2
2,1,2.2,1.2
3,1,2.2,1.2
4,1,2.2,1.2
5,1,2.2,1.2
6,1,2.2,1.2
7,1,2.2,1.2
8,1,2.2,1.2
9,1,2.2,1.2
10,1,2.2,1.2
11,1,2.2,1.2
12,1,2.2,1.2
13,1,2.2,1.2
14,1,2.2,1.2
15,1,2.2,1.2
16,1,2.2,1.2
17,1,2.2,1.2
18,1,2.2,1.2
19,1,2.2,1.2
20,1,2.2,1.2
21,1,2.2,1.2
22,1,2.2,1.2
23,1,2.2,1.2
24,1,2.2,1.2
25,1,2.2,1.2
26,1,2.2,1.2
27,1,2.2,1.2
28,1,2.2,1.2
29,1,2.2,1.2
30,1,2.2,1.2
31,1,2.2,1.2
32,1,2.2,1.2
33,1,2.2,1.2
34,1,2.2,1.2
35,1,2.2,1.2
36,1,2.2,1.2
37,1,2.2,1.2
38,1,2.2,1.2
39,1,2.2,1.2
40,1,2.2,1.2
41,1,2.2,1.2
42,1,2.2,1.2
43,1,2.2,1.2
44,1,2.2,1.2
45,1,2.2,1.2
46,1,2.2,1.2
47,1,2.2,1.2
48,1,2.2,1.2
49,1,2.2,1.2
50,1,2.2,1.2
51,1,2.2,1.2
52,1,2.2,1.2
53,1,2.2,1.2
54,1,2.2,1.2
55,1,2.2,1.2
56,1,2.2,1.2
57,1,2.2,1.2
58,1,2.2,1.2
59,1,2.2,1.2
60,1,2.2,1.2
61,22,20.801,-1.199
62,20,20.801,0.801
63,19.6,20.801,1.201
64,19.6,20.801,1.201
65,19.6,20.801,1.201
66,19.8,20.798,0.998
67,19.8,20.798,0.998
68,36.4,20.798,-15.602
69,19.6,20.798,1.198
70,19.6,20.798,1.198
71,19.6,20.798,1.198
72,19.8,20.798,0.998
73,19.6,20.798,1.198
74,19.6,20.798,1.198
75,19.6,20.798,1.198
76,19.6,20.798,1.198
77,19.6,20.798,1.198
78,19.8,20.798,0.998
79,24,20.999,-3.001
80,20,20.999,0.999
81,20.2,20.999,0.799
82,20,20.999,0.999
83,20.2,20.999,0.799
84,20,20.999,0.999
85,20,20.798,0.798
86,20,20.798,0.798
87,20,20.798,0.798
88,20,20.798,0.798
89,20,20.999,0.999
90,20,21.2,1.2
91,20,20.798,0.798
92,19.6,20.798,1.198
93,19.6,20.798,1.198
94,19.8,20.999,1.199
95,19.8,20.999,1.199
96,19.6,20.798,1.198
97,19.6,20.798,1.198
98,19.6,20.798,1.198
99,19.6,20.798,1.198
100,19.8,20.798,0.998
101,19.6,20.798,1.198
102,19.6,20.798,1.198
103,19.6,20.798,1.198
104,19.6,20.798,1.198
105,19.6,20.798,1.198
106,19.6,20.798,1.198
107,19.6,20.798,1.198
108,19.6,20.798,1.198
109,19.6,20.798,1.198
110,19.6,20.798,1.198
111,19.6,20.798,1.198
112,19.6,20.999,1.399
113,19.6,20.801,1.201
114,19.6,20.798,1.198
115,19.8,20.999,1.199
116,19.8,20.798,0.998
117,20,20.798,0.798
118,19.6,20.798,1.198
119,35.8,20.999,-14.801
120,19.6,20.798,1.198
121,8963.6,9001.795,38.195
122,9039.8,8997.832,-41.968
123,8967.2,8980.453,13.253
124,9049.8,9001.795,-48.005
125,8947.2,8964.797,17.597
126,8970,8964.797,-5.203
127,9184,8998.805,-185.195
128,9142.2,8998.805,-143.395
129,8995,8980.453,-14.547
130,9207,8998.805,-208.195
131,9036.8,8980.453,-56.347
132,8968.8,8997.832,29.032
133,8997.6,8998.805,1.205
134,9115.8,9001.795,-114.005
135,8921.4,9001.795,80.395
136,9009.2,8998.805,-10.395
137,9047.2,8990.191,-57.009
138,9010.2,9001.795,-8.405
139,8972.4,9001.795,29.395
140,8932.8,9001.795,68.995
141,9026.6,9001.795,-24.805
142,9045.6,8990.191,-55.409
143,9045.6,8990.191,-55.409
144,8976.2,9001.795,25.595
145,8998.8,9001.795,2.995
146,8981.8,8998.805,17.005
147,8987.2,9001.795,14.595
148,8936.8,9001.795,64.995
149,8991.2,8998.805,7.605
150,8968.4,8980.453,12.053
151,9036,9001.795,-34.205
152,8974.6,8964.797,-9.803
153,8979,8998.805,19.805
154,9145.8,9001.795,-144.005
155,9083.6,8998.805,-84.795
156,8937,8980.453,43.453
157,8973.4,8997.832,24.432
158,9021.4,9001.795,-19.605
159,9034.6,8998.805,-35.795
160,9038.2,8980.453,-57.747
161,8986,8998.805,12.805
162,8971.6,9001.795,30.195
163,8995,8998.805,3.805
164,8990.4,9001.795,11.395
165,8956.2,8964.797,8.597
166,8966,8964.797,-1.203
167,9036,8998.805,-37.195
168,9011.8,9001.795,-10.005
169,9036.6,9001.795,-34.805
170,8984,9001.795,17.795
171,8999,9001.795,2.795
172,9080.4,9001.795,-78.605
173,8941.2,9001.795,60.595
174,8940.6,9001.795,61.195
175,9008.4,8998.805,-9.595
176,9038,8997.832,-40.168
177,8920.2,9001.795,81.595
178,8904,9001.795,97.795
179,9097.6,8980.453,-117.147
180,8981.2,8998.805,17.605
181,84,81.397,-2.603
182,64.2,37.501,-26.699
183,35,37.501,2.501
184,28.8,37.501,8.701
