inst#,actual,predicted,error
1,1,1.999,0.999
2,1,1.999,0.999
3,1,1.999,0.999
4,1,1.999,0.999
5,1,1.999,0.999
6,1,1.999,0.999
7,1,1.999,0.999
8,1,1.999,0.999
9,1,1.999,0.999
10,1,1.999,0.999
11,1,1.999,0.999
12,1,1.999,0.999
13,1,1.999,0.999
14,1,1.999,0.999
15,1,1.999,0.999
16,1,1.999,0.999
17,1,1.999,0.999
18,1,1.999,0.999
19,1,1.999,0.999
20,1,1.999,0.999
21,1,1.999,0.999
22,1,1.999,0.999
23,1,1.999,0.999
24,1,1.999,0.999
25,1,1.999,0.999
26,1,1.999,0.999
27,1,1.999,0.999
28,1,1.999,0.999
29,1,1.999,0.999
30,1,1.999,0.999
31,1,1.999,0.999
32,1,1.999,0.999
33,1,1.999,0.999
34,1,1.999,0.999
35,1,1.999,0.999
36,1,1.999,0.999
37,1,1.999,0.999
38,1,1.999,0.999
39,1,1.999,0.999
40,1,1.999,0.999
41,1,1.999,0.999
42,1,1.999,0.999
43,1,1.999,0.999
44,1,1.999,0.999
45,1,1.999,0.999
46,1,1.999,0.999
47,1,1.999,0.999
48,1,1.999,0.999
49,1,1.999,0.999
50,1,1.999,0.999
51,1,1.999,0.999
52,1,1.999,0.999
53,1,1.999,0.999
54,1,1.999,0.999
55,1,1.999,0.999
56,1,1.999,0.999
57,1,1.999,0.999
58,1,1.999,0.999
59,1,1.999,0.999
60,1,1.999,0.999
61,22,20.601,-1.399
62,20,20.601,0.601
63,19.6,20.601,1.001
64,19.6,20.601,1.001
65,19.6,20.601,1.001
66,19.8,18.996,-0.804
67,19.8,18.996,-0.804
68,36.4,18.996,-17.404
69,19.6,18.996,-0.604
70,19.6,18.996,-0.604
71,19.6,18.996,-0.604
72,19.8,18.996,-0.804
73,19.6,18.996,-0.604
74,19.6,18.996,-0.604
75,19.6,18.996,-0.604
76,19.6,18.996,-0.604
77,19.6,18.996,-0.604
78,19.8,18.996,-0.804
79,24,20.601,-3.399
80,20,20.601,0.601
81,20.2,20.601,0.401
82,20,20.601,0.601
83,20.2,20.601,0.401
84,20,20.601,0.601
85,20,18.996,-1.004
86,20,18.996,-1.004
87,20,18.996,-1.004
88,20,18.996,-1.004
89,20,20.601,0.601
90,20,20.999,0.999
91,20,18.996,-1.004
92,19.6,18.996,-0.604
93,19.6,18.996,-0.604
94,19.8,20.601,0.801
95,19.8,20.601,0.801
96,19.6,18.996,-0.604
97,19.6,18.996,-0.604
98,19.6,18.996,-0.604
99,19.6,18.996,-0.604
100,19.8,18.996,-0.804
101,19.6,18.996,-0.604
102,19.6,18.996,-0.604
103,19.6,18.996,-0.604
104,19.6,18.996,-0.604
105,19.6,18.996,-0.604
106,19.6,18.996,-0.604
107,19.6,18.996,-0.604
108,19.6,18.996,-0.604
109,19.6,18.996,-0.604
110,19.6,18.996,-0.604
111,19.6,18.996,-0.604
112,19.6,20.601,1.001
113,19.6,20.601,1.001
114,19.6,18.996,-0.604
115,19.8,20.601,0.801
116,19.8,18.996,-0.804
117,20,18.996,-1.004
118,19.6,18.996,-0.604
119,35.8,20.601,-15.199
120,19.6,18.996,-0.604
121,8963.6,9012.807,49.207
122,9039.8,8967.803,-71.997
123,8967.2,8969.392,2.192
124,9049.8,9012.807,-36.993
125,8947.2,8852.882,-94.318
126,8970,8852.882,-117.118
127,9184,9009.406,-174.594
128,9142.2,9009.406,-132.794
129,8995,8969.392,-25.608
130,9207,9009.406,-197.594
131,9036.8,8969.392,-67.408
132,8968.8,8967.803,-0.997
133,8997.6,9009.406,11.806
