@relation x_features.txt_x_features_simvec.txt-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Standardize_ytest_time.txt

@attribute triple numeric
@attribute bgp numeric
@attribute join numeric
@attribute leftjoin numeric
@attribute union numeric
@attribute filter numeric
@attribute project numeric
@attribute distinct numeric
@attribute treesize numeric
@attribute pcs0 numeric
@attribute pcs1 numeric
@attribute pcs2 numeric
@attribute pcs3 numeric
@attribute pcs4 numeric
@attribute pcs5 numeric
@attribute pcs6 numeric
@attribute pcs7 numeric
@attribute pcs8 numeric
@attribute pcs9 numeric
@attribute ex_time numeric

@data
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,0.116081,0.116081,-0.248398,-0.022009,-0.314802,3.176867,-0.022009,0.029433,-0.248398,-0.216978,1
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
0.099138,-0.29116,-0.306065,0.022872,-0.787928,-0.789441,0.408086,-0.865682,-0.558795,-0.122381,-0.122381,-0.194047,-0.208178,4.16236,-0.44969,-0.208178,-0.351297,-0.194047,-0.064322,13.2
