inst#,actual,predicted,error
1,1,2.2,1.2
2,1,2.2,1.2
3,1,2.2,1.2
4,1,2.2,1.2
5,1,2.2,1.2
6,1,2.2,1.2
7,1,2.2,1.2
8,1,2.2,1.2
9,1,2.2,1.2
10,1,2.2,1.2
11,1,2.2,1.2
12,1,2.2,1.2
13,1,2.2,1.2
14,1,2.2,1.2
15,1,2.2,1.2
16,1,2.2,1.2
17,1,2.2,1.2
18,1,2.2,1.2
19,1,2.2,1.2
20,1,2.2,1.2
21,1,2.2,1.2
22,1,2.2,1.2
23,1,2.2,1.2
24,1,2.2,1.2
25,1,2.2,1.2
26,1,2.2,1.2
27,1,2.2,1.2
28,1,2.2,1.2
29,1,2.2,1.2
30,1,2.2,1.2
31,1,2.2,1.2
32,1,2.2,1.2
33,1,2.2,1.2
34,1,2.2,1.2
35,1,2.2,1.2
36,1,2.2,1.2
37,1,2.2,1.2
38,1,2.2,1.2
39,1,2.2,1.2
40,1,2.2,1.2
41,1,2.2,1.2
42,1,2.2,1.2
43,1,2.2,1.2
44,1,2.2,1.2
45,1,2.2,1.2
46,1,2.2,1.2
47,1,2.2,1.2
48,1,2.2,1.2
49,1,2.2,1.2
50,1,2.2,1.2
51,1,2.2,1.2
52,1,2.2,1.2
53,1,2.2,1.2
54,1,2.2,1.2
55,1,2.2,1.2
56,1,2.2,1.2
57,1,2.2,1.2
58,1,2.2,1.2
59,1,2.2,1.2
60,1,2.2,1.2
61,22,20.799,-1.201
62,20,20.799,0.799
63,19.6,20.799,1.199
64,19.6,20.799,1.199
65,19.6,20.799,1.199
66,19.8,20.799,0.999
67,19.8,20.799,0.999
68,36.4,20.799,-15.601
69,19.6,20.799,1.199
70,19.6,20.799,1.199
71,19.6,20.799,1.199
72,19.8,20.799,0.999
73,19.6,20.799,1.199
74,19.6,20.799,1.199
75,19.6,20.799,1.199
76,19.6,20.799,1.199
77,19.6,20.799,1.199
78,19.8,20.799,0.999
79,24,20.799,-3.201
80,20,20.799,0.799
81,20.2,20.799,0.599
82,20,20.799,0.799
83,20.2,20.799,0.599
84,20,20.799,0.799
85,20,20.799,0.799
86,20,20.799,0.799
87,20,20.799,0.799
88,20,20.799,0.799
89,20,20.799,0.799
90,20,21.201,1.201
91,20,20.799,0.799
92,19.6,20.799,1.199
93,19.6,20.799,1.199
94,19.8,20.799,0.999
95,19.8,20.799,0.999
96,19.6,20.799,1.199
97,19.6,20.799,1.199
98,19.6,20.799,1.199
99,19.6,20.799,1.199
100,19.8,20.799,0.999
101,19.6,20.799,1.199
102,19.6,20.799,1.199
103,19.6,20.799,1.199
104,19.6,20.799,1.199
105,19.6,20.799,1.199
106,19.6,20.799,1.199
107,19.6,20.799,1.199
108,19.6,20.799,1.199
109,19.6,20.799,1.199
110,19.6,20.799,1.199
111,19.6,20.799,1.199
112,19.6,20.799,1.199
113,19.6,20.799,1.199
114,19.6,20.799,1.199
115,19.8,20.799,0.999
116,19.8,20.799,0.999
117,20,20.799,0.799
118,19.6,20.799,1.199
119,35.8,20.799,-15.001
120,19.6,20.799,1.199
121,8963.6,9010.601,47.001
122,9039.8,8942.699,-97.101
123,8967.2,8999.693,32.493
124,9049.8,9010.601,-39.199
125,8947.2,8881.844,-65.356
126,8970,8881.844,-88.156
127,9184,9009.595,-174.405
128,9142.2,9009.595,-132.605
129,8995,8999.693,4.693
130,9207,9009.595,-197.405
131,9036.8,8999.693,-37.107
132,8968.8,8942.699,-26.101
133,8997.6,9009.595,11.995
134,9115.8,9010.601,-105.199
135,8921.4,9010.601,89.201
136,9009.2,9009.595,0.395
137,9047.2,8995.029,-52.171
138,9010.2,9010.601,0.401
139,8972.4,9010.601,38.201
140,8932.8,9010.601,77.801
141,9026.6,9010.601,-15.999
142,9045.6,8995.029,-50.571
143,9045.6,8995.029,-50.571
144,8976.2,9010.601,34.401
145,8998.8,9010.601,11.801
146,8981.8,9009.595,27.795
147,8987.2,9010.601,23.401
148,8936.8,9010.601,73.801
149,8991.2,9009.595,18.395
150,8968.4,8999.693,31.293
151,9036,9010.601,-25.399
152,8974.6,8881.844,-92.756
153,8979,9009.595,30.595
154,9145.8,9010.601,-135.199
155,9083.6,9009.595,-74.005
156,8937,8999.693,62.693
157,8973.4,8942.699,-30.701
158,9021.4,9010.601,-10.799
159,9034.6,9009.595,-25.005
160,9038.2,8999.693,-38.507
161,8986,9009.595,23.595
162,8971.6,9010.601,39.001
163,8995,9009.595,14.595
164,8990.4,9010.601,20.201
165,8956.2,8881.844,-74.356
166,8966,8881.844,-84.156
167,9036,9009.595,-26.405
168,9011.8,9010.601,-1.199
169,9036.6,9010.601,-25.999
170,8984,9010.601,26.601
171,8999,9010.601,11.601
172,9080.4,9010.601,-69.799
173,8941.2,9010.601,69.401
174,8940.6,9010.601,70.001
175,9008.4,9009.595,1.195
176,9038,8942.699,-95.301
177,8920.2,9010.601,90.401
178,8904,9010.601,106.601
179,9097.6,8999.693,-97.907
180,8981.2,9009.595,28.395
181,84,75.794,-8.206
182,64.2,54.598,-9.602
183,35,54.598,19.598
184,28.8,52.685,23.885
